name,symbol,instrument type,exchange,industry
Tritax Big Box REIT Plc,BBOX.L,Stocks,London,ConsumerGoods
Safestore Holdings PLC,SAFE.L,Stocks,London,Financial
Halma PLC,HLMA.L,Stocks,London,IndustrialGoods
WH Smith PLC,SMWH.L,Stocks,London,Financial
Workspace Group PLC,WKP.L,Stocks,London,Financial
HomeServe PLC,HSV.L,Stocks,London,Financial
Pennon Group PLC,PNN.L,Stocks,London,Financial
N Brown Group PLC,BWNG.L,Stocks,London,Financial
Telecom Plus PLC,TEP.L,Stocks,London,ConsumerGoods
Entertainment One Ltd,ETO.L,Stocks,London,Financial
Monks Investment Trust PLC,MNKS.L,Stocks,London,Financial
TalkTalk Telecom Group PLC,TALK.L,Stocks,London,BasicMaterials
Foreign & Colonial Investment Trust PLC,FCIT.L,Stocks,London,Financial
Paragon Group of Cos PLC,PAG.L,Stocks,London,ConsumerGoods
Dairy Crest Group PLC,DCG.L,Stocks,London,Financial
NEX Group PLC,NXG.L,Stocks,London,ConsumerGoods
Cranswick PLC,CWK.L,Stocks,London,ConsumerGoods
B&M European Value Retail SA,BME.L,Stocks,London,Financial
Bank of Georgia Group PLC,BGEO.L,Stocks,London,ConsumerGoods
Big Yellow Group PLC,BYG.L,Stocks,London,ConsumerGoods
PayPoint PLC,PAY.L,Stocks,London,ConsumerGoods
Mitie Group PLC,MTO.L,Stocks,London,ConsumerGoods
JD Sports Fashion PLC,JD.L,Stocks,London,ConsumerGoods
Mercantile Investment Trust PLC,MRC.L,Stocks,London,Utilities
Electrocomponents PLC,RS1.L,Stocks,London,Financial
Assura PLC,AGR.L,Stocks,London,Financial
Templeton Emerging Markets Investment Tr,TEM.L,Stocks,London,ConsumerGoods
Indivior PLC,INDV.L,Stocks,London,ConsumerGoods
3i Infrastructure PLC,3IN.L,Stocks,London,Financial
Intermediate Capital Group PLC,ICG.L,Stocks,London,ConsumerGoods
Shaftesbury PLC,SHB.L,Stocks,London,ConsumerGoods
Pets at Home Group Plc,PETS.L,Stocks,London,IndustrialGoods
NewRiver REIT PLC,NRR.L,Stocks,London,Financial
TBC Bank Group PLC,TBCG.L,Stocks,London,ConsumerGoods
Victrex PLC,VCT.L,Stocks,London,Financial
RDI REIT P.L.C.,RDI.L,Stocks,London,Financial
Spire Healthcare Group PLC,SPI.L,Stocks,London,ConsumerGoods
Grainger PLC,GRI.L,Stocks,London,IndustrialGoods
ZPG PLC,ZPG.L,Stocks,London,Technology
Countryside Properties PLC,CSP.L,Stocks,London,IndustrialGoods
UDG Healthcare PLC,UDG.L,Stocks,London,Financial
Great Portland Estates PLC,GPE.L,Stocks,London,Financial
Greencore Group PLC,GNC.L,Stocks,London,Financial
SSP Group Plc,SSPG.L,Stocks,London,ConsumerGoods
Britvic PLC,BVIC.L,Stocks,London,ConsumerGoods
Mitchells & Butlers PLC,MAB.L,Stocks,London,Financial
Diploma PLC,DPLM.L,Stocks,London,ConsumerGoods
Euromoney Institutional Investor PLC,ERM.L,Stocks,London,ConsumerGoods
Marston's PLC,MARS.L,Stocks,London,Financial
Brewin Dolphin Holdings PLC,BRW.L,Stocks,London,Utilities
Bellway PLC,BWY.L,Stocks,London,BasicMaterials
Ted Baker PLC,TED.L,Stocks,London,Utilities
A.G. Barr PLC,BAG.L,Stocks,London,Financial
Saga PLC,SAGA.L,Stocks,London,BasicMaterials
AA PLC,AA.L,Stocks,London,IndustrialGoods
NMC Health PLC,NMC,Stocks,London,Utilities
Just Group PLC,JUST.L,Stocks,London,Financial
Card Factory PLC,CARD.L,Stocks,London,Financial
J D Wetherspoon PLC,JDW.L,Stocks,London,Financial
McCarthy & Stone PLC,MCS.L_old,Stocks,London,ConsumerGoods
International Public Partnerships Ltd,INPP.L,Stocks,London,ConsumerGoods
Sanne Group PLC,SNN.L,Stocks,London,Financial
Entain PLC,ENT.L,Stocks,London,Utilities
Kier Group PLC,KIE.L,Stocks,London,Financial
Softcat PLC,SCT.L,Stocks,London,Technology
Go-Ahead Group PLC,GOG.L,Stocks,London,ConsumerGoods
